id_solicitante,expediente,dependencia,fecha,tema,categoria_tema,dependencia_ministerio,ministerio,vencimiento_1,vencimiento_2,prorroga,estado,termino,fecha_respuesta
1,240768,MGEYA,2013-01-18,DATOS VARIOS CON RESPECTO A LICITACIONES DE OBRAS DE ESPACIOS VERDES ,Obras públicas,DGTAL,Ambiente y Espacio Público,2013-02-04,2013-02-21,Si,Finalizado fuera de término,Fuera de término,2013-03-08
1,240791,MGEYA,2013-01-18,DATOS VARIOS CON RESPECTO AL FUNCIONAMIENTO DE LAS ESTACIONES SAN JOSE DE FLORES Y NAZCA,Informes,SBASE,Desarrollo Urbano,2013-02-04,,,Finalizado en término,En término,2013-01-30
1,240805,MGEYA,2013-01-18,FUNCIONES QUE CUMPLE EL DIRECTOR GENERAL DE LIMPIEZA,Normativa,DGTAL,Ambiente y Espacio Público,2013-02-04,,,Pendiente fuera de término,,
1,240831,MGEYA,2013-01-18,DATOS VARIOS CON RESPECTO AL CONSEJO DE GESTION DE LA RESERVA ECOLOGICA,Informes,DGTAL,Ambiente y Espacio Público,2013-02-04,2013-02-21,Si,Finalizado fuera de término,Fuera de término,2013-04-04
1,240833,MGEYA,2013-01-18,INFORMACION SOBRE EL OTORGAMIENTO DE UN CERTIFICADO DE APTITUD AMBIENTAL SI AUDIENCIA PUBLICA PARA LA ETAPA DE OPERACIÓN / CONSTRUCCION ,Informes,DGTAL,Desarrollo Urbano,2013-02-04,,,Finalizado en término,En término,2013-02-01
1,240873,MGEYA,2013-01-18,DATOS VARIOS CON RESPECTO A TRANSFERENCIA REALIZADA A LA FUNDACION TEATRO COLON,Presupuesto,DGTAL,Cultura,2013-02-04,2013-02-21,Si,Finalizado en término,En término,2013-02-11
1,240944,MGEYA,2013-01-18,"DATOS VARIOS CON RESPECTO A CARGOS DE TERAPIA INTERMEDIA ADULTOS, TERAPIA INTENSIVA PEDIATRICA, TERAPIA INTERMEDIA PEDIATRICA",RRHH,DGLYT,Salud,2013-02-04,,,Pendiente fuera de término,,
1,240983,MGEYA,2013-01-18,DATOS VARIOS CON RESPECTO AL COMITE DE HISTORIAS CLINICAS,Informes,DGLYT,Salud,2013-02-04,,,Pendiente fuera de término,,
1,241029,MGEYA,2013-01-18,DATOS VARIOS CON RESPECTO A OBRAS ACORDADAS EN EL JARDIN ZOOLOGICO,Obras públicas,DGTAL,Ambiente y Espacio Público,2013-02-04,,,Pendiente fuera de término,,
1,241141,MGEYA,2013-01-18,DATOS VARIOS CON RESPECTO A CAMAS UTILIZADAS SOBRE EL TOTAL DISPONIBLE,Informes,DGLYT,Salud,2013-02-04,,,Pendiente fuera de término,,
